SessionID,FirebaseID,Timestamp,Major,Year,GPA,Gender,Guna_Time_ms,Guna_Cursor_px,Guna_Changes,Guna_T17,Guna_S11,Guna_T16,Guna_S12,Guna_T9,Guna_R15,Guna_T24,Guna_T8,Guna_R5,Guna_S5,Guna_R6,Guna_T21,Guna_T11,Guna_T26,Guna_T3,Guna_S9,Guna_R3,Guna_T4,Guna_R16,Guna_T19,Guna_S8,Guna_R4,Guna_R7,Guna_R13,Guna_T23,Guna_R10,Guna_S13,Guna_T18,Guna_T1,Guna_S6,Guna_S2,Guna_R12,Guna_T14,Guna_R14,Guna_S7,Guna_R9,Guna_T27,Guna_T10,Guna_T22,Guna_R2,Guna_R1,Guna_S3,Guna_S1,Guna_T2,Guna_T6,Guna_T15,Guna_S4,Guna_T20,Guna_T7,Guna_S14,Guna_T13,Guna_R8,Guna_T25,Guna_R11,Guna_T5,Guna_S10,Guna_T12,BigFive_BF1,BigFive_BF9,BigFive_BF2,BigFive_BF7,BigFive_BF8,BigFive_BF6,BigFive_BF10,BigFive_BF4,BigFive_BF3,BigFive_BF5
b5a8e366-0414-4969-aa70-3026a0b1e994,5ycdKVAL2t6eik5J80HJ,2026-02-12T08:20:47.212Z,,,,Female,153743,11681,57,2,3,3,3,2,3,2,3,3,3,4,3,2,3,1,4,3,3,4,3,5,4,2,2,1,3,3,4,4,4,3,1,4,2,4,4,4,2,2,4,3,2,2,5,3,3,3,4,4,2,3,5,2,2,4,4,3,2,3,3,3,2,2,3,2,2,3
dbaf56b6-8c62-454d-889a-8b19d41b0a57,9BjKEAKpyv0IWx22g7qt,2026-02-12T08:06:00.015Z,Electrical Engineering ,4,8.6,Female,82375,13525,57,3,3,3,3,3,3,2,4,3,3,4,3,3,3,1,4,4,4,4,4,5,2,3,2,3,3,3,3,3,4,3,3,4,4,4,2,4,2,4,4,3,2,3,3,4,2,3,4,3,2,3,3,4,4,4,4,3,2,3,3,2,3,3,4,3,2,4
2b56116d-7e9c-4e83-85b8-67b104c73f77,DqWVQrUlAk7N42ZaBgt0,2026-02-12T08:57:17.771Z,Elelctrical Engineering,PG,10.0,Male,1410261,159141,81,2,5,2,3,4,4,5,1,1,3,2,2,3,3,2,4,2,4,4,2,3,2,2,2,2,1,3,3,2,3,3,3,2,1,2,2,3,2,3,1,4,2,3,3,1,3,3,2,3,1,2,2,2,3,1,3,5,3,4,4,3,4,3,4,4,4,4
7227fbff-e393-4cbd-9a56-8a4c89c1b605,OXeP9MBNlHlh8JZbnRzc,2026-02-12T07:58:57.544Z,Electrical Engineering ,4,8.7,Female,69785,12997,57,4,3,3,3,5,4,3,4,5,2,3,4,1,5,4,2,3,2,3,4,4,4,3,4,4,2,4,3,3,4,3,4,1,5,4,3,4,2,5,4,3,2,3,2,2,2,1,3,3,3,4,2,3,3,3,3,4,3,4,4,2,3,3,3,3,2,4
